year,pop,sworn,narrests,kills,killsfel,killsacc
1980,23644324,42290,1689005,9,5,4
1981,24273613,44091,1794739,11,9,2
1982,24902595,44836,1771253,9,6,3
1983,25457775,51295,1791458,10,8,2
1984,25824263,52411,1838156,14,11,3
1985,26566282,51558,2031689,9,6,3
1986,27193441,52981,2136008,5,4,1
1987,27885070,53471,2188424,6,3,3
1988,28413241,51205,2288803,14,7,7
1989,29323401,57863,2410184,10,4,6
1990,30047608,60105,2433967,7,5,2
1991,30612217,61492,2194567,5,3,2
1992,31102927,60696,2072964,7,5,2
1993,31453274,59918,1983617,13,8,5
1994,31674969,60810,1966198,13,9,4
1995,31854695,63218,1900354,10,7,3
1996,32131922,66339,1945252,3,2,1
1997,32362913,60567,1944722,9,5,4
1998,32763349,68847,1896292,15,7,8
1999,33243480,74236,1794759,7,4,3
2000,33976665,73095,1725499,10,2,8
2001,34608064,73516,1716613,10,6,4
2002,35222901,76634,1733071,8,4,4
2003,35592667,77624,1790371,15,6,9
2004,36003471,76432,1845586,12,5,7
2005,36243236,76702,1862193,14,5,9
2006,36572532,78066,1904556,11,5,6
2007,36672767,81076,1925626,8,4,4
2008,36876276,83889,1935443,10,3,7
2009,37061435,82902,1836844,6,4,2
2010,37346022,81612,1724011,10,4,6
2011,37819249,78893,1559873,7,2,5
2012,38183375,78062,1510142,2,2,0
2013,38183375,78062,1466117,7,5,2
2014,38183375,78062,1477594,14,5,9
