LEOKA 1980 - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current as of 09/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEOKA Deaths: Data on officers killed was provided by the CJSC for the years 1990-2014, and the FBI for the years 1980-1989.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEOKA Assaults: In order to document trends from prior years, and in order to maintain consistency throughout the analysis, figures for OpenJustice LEOKA Assaults are based on data provided by the FBI in electronic form for the years 1980-2012 and on data provided by CJSC for the years 2013 and 2014. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,pop,sworn,narrests,kills,killsfel,killsacc,,year,ass,assinj,assnoinj,AIF,AIK,AIH,AIO,ANIF,ANIK,ANIH,ANIO,DI,BU,RO,AT,CI,CU,SU,AM,ME,TR,AO,TOT,A2,A4,A6,A8,A10,A12,A14,A16,A18,A20,A22,A24
1980,23644324,42290,1689005,9,5,4,,1980,8710,3633,5077,98,109,2994,432,403,194,3634,846,2656,133,88,1241,238,1174,1075,83,80,1221,721,8710,1260,1032,336,156,288,312,432,396,588,1068,1092,1620
1981,24273613,44091,1794739,11,9,2,,1981,8334,3095,5239,80,62,2542,411,382,169,3895,793,2477,145,74,1176,120,1115,1076,80,107,1208,756,8334,1320,936,288,180,204,360,384,396,756,732,1344,1668
1982,24902595,44836,1771253,9,6,3,,1982,7383,2673,4710,58,55,2211,349,336,177,3473,724,2232,132,73,1087,102,1081,921,42,97,820,796,7383,1116,756,288,168,180,324,180,480,660,840,996,1248
1983,25457775,51295,1791458,10,8,2,,1983,7588,2840,4748,69,59,2351,361,352,173,3476,747,2363,119,72,945,137,1217,943,52,83,816,841,7588,1344,600,288,72,132,288,312,396,744,828,1164,1308
1984,25824263,52411,1838156,14,11,3,,1984,7809,2768,5041,51,56,2332,329,274,200,3835,732,2277,116,63,1145,110,1171,1038,28,95,790,976,7809,948,792,264,168,240,408,420,456,816,876,840,1632
1985,26566282,51558,2031689,9,6,3,,1985,7965,2794,5171,69,64,2290,371,329,200,3921,721,2290,130,88,1221,111,1223,1042,30,86,835,909,7965,1440,552,192,180,216,360,456,444,732,624,792,1116
1986,27193441,52981,2136008,5,4,1,,1986,7953,2740,5213,40,65,2299,336,242,170,4053,748,2285,145,58,1261,179,1203,1016,32,109,815,850,7953,1332,660,312,228,132,420,432,624,768,876,912,1260
1987,27885070,53471,2188424,6,3,3,,1987,8021,2609,5412,51,61,2162,335,290,200,4102,820,2500,124,55,1299,63,1002,1218,63,77,949,671,8021,1152,816,264,216,216,384,528,612,660,792,1128,1260
1988,28413241,51205,2288803,14,7,7,,1988,8434,2765,5669,52,50,2284,379,397,160,4218,894,2624,121,84,1263,84,918,1296,81,92,1118,753,8434,1416,972,300,240,432,480,480,540,792,816,996,1392
1989,29323401,57863,2410184,10,4,6,,1989,8816,2906,5910,41,40,2423,402,441,156,4363,950,2830,146,85,1302,126,981,1248,124,97,1066,811,8816,1140,816,300,276,240,360,528,612,792,792,1068,1488
1990,30047608,60105,2433967,7,5,2,,1990,8866,3111,5755,40,47,2547,477,402,129,4394,830,2854,106,106,1356,185,1170,1207,93,97,1004,688,8866,1548,708,240,276,264,312,372,528,780,672,1068,1308
1991,30612217,61492,2194567,5,3,2,,1991,7765,2584,5181,39,39,2194,312,403,131,3905,742,2333,128,91,1323,165,1082,1018,138,71,816,600,7765,1056,540,228,156,624,420,396,504,612,744,912,1608
1992,31102927,60696,2072964,7,5,2,,1992,9659,3354,6305,69,86,2751,448,675,258,4557,815,3111,138,106,1595,299,1194,1159,76,131,905,945,9659,1116,756,300,204,456,324,588,636,720,1056,1356,1224
